symbol,stock_change_before,buy,CurrentRatio_last,CurrentRatio_sec_last,CurrentRatio_third_last,DebtToEquity_last,DebtToEquity_sec_last,DebtToEquity_third_last,DebtToAssets_last,DebtToAssets_sec_last,DebtToAssets_third_last,Expenses_last,Expenses_sec_last,Expenses_third_last,Revenue_last,Revenue_sec_last,Revenue_third_last,EBIT_last,EBIT_sec_last,EBIT_third_last,EBITDA_last,EBITDA_sec_last,EBITDA_third_last,FreeCashFlow_last,FreeCashFlow_sec_last,FreeCashFlow_third_last,NetDebtToEBITDA_last,NetDebtToEBITDA_sec_last,NetDebtToEBITDA_third_last,InterestCoverageRatio_last,InterestCoverageRatio_sec_last,InterestCoverageRatio_third_last,IncomeQuality_last,IncomeQuality_sec_last,IncomeQuality_third_last,PayoutRatio_last,PayoutRatio_sec_last,PayoutRatio_third_last,SalesGeneralAndAdministrativeToRevenue_last,SalesGeneralAndAdministrativeToRevenue_sec_last,SalesGeneralAndAdministrativeToRevenue_third_last,ReturnOnTangibleAssets_last,ReturnOnTangibleAssets_sec_last,ReturnOnTangibleAssets_third_last,WorkingCapital_last,WorkingCapital_sec_last,WorkingCapital_third_last,TangibleAssetValue_last,TangibleAssetValue_sec_last,TangibleAssetValue_third_last,NetCurrentAssetValue_last,NetCurrentAssetValue_sec_last,NetCurrentAssetValue_third_last,RevenuePerShare_last,RevenuePerShare_sec_last,RevenuePerShare_third_last,InterestDebtPerShare_last,InterestDebtPerShare_sec_last,InterestDebtPerShare_third_last,ReturnOnEquity_last,ReturnOnEquity_sec_last,ReturnOnEquity_third_last,CapexPerShare_last,CapexPerShare_sec_last,CapexPerShare_third_last,QuickRatio_last,QuickRatio_sec_last,QuickRatio_third_last,CashRatio_last,CashRatio_sec_last,CashRatio_third_last,GrossProfitMargin_last,GrossProfitMargin_sec_last,GrossProfitMargin_third_last,ReturnOnAssets_last,ReturnOnAssets_sec_last,ReturnOnAssets_third_last,ReturnOnCapitalEmployed_last,ReturnOnCapitalEmployed_sec_last,ReturnOnCapitalEmployed_third_last,CompanyEquityMultiplier_last,CompanyEquityMultiplier_sec_last,CompanyEquityMultiplier_third_last,NetIncomePerEBT_last,NetIncomePerEBT_sec_last,NetIncomePerEBT_third_last,LongTermDebtToCapitalization_last,LongTermDebtToCapitalization_sec_last,LongTermDebtToCapitalization_third_last,TotalDebtToCapitalization_last,TotalDebtToCapitalization_sec_last,TotalDebtToCapitalization_third_last,FixedAssetTurnover_last,FixedAssetTurnover_sec_last,FixedAssetTurnover_third_last,OperatingCashFlowSalesRatio_last,OperatingCashFlowSalesRatio_sec_last,OperatingCashFlowSalesRatio_third_last,FreeCashFlowSalesRatio_last,FreeCashFlowSalesRatio_sec_last,FreeCashFlowSalesRatio_third_last,CashFlowCoverageRatio_last,CashFlowCoverageRatio_sec_last,CashFlowCoverageRatio_third_last,ShortTermCoverageRatio_last,ShortTermCoverageRatio_sec_last,ShortTermCoverageRatio_third_last,CapitalExpenditureCoverageRatio_last,CapitalExpenditureCoverageRatio_sec_last,CapitalExpenditureCoverageRatio_third_last,DividendPaidAndCapexCoverageRatio_last,DividendPaidAndCapexCoverageRatio_sec_last,DividendPaidAndCapexCoverageRatio_third_last,OperatingProfitMargin_last,OperatingProfitMargin_sec_last,OperatingProfitMargin_third_last,PretaxProfitMargin_last,PretaxProfitMargin_sec_last,PretaxProfitMargin_third_last,NetProfitMargin_last,NetProfitMargin_sec_last,NetProfitMargin_third_last,NIPerEBT_last,NIPerEBT_sec_last,NIPerEBT_third_last,EBTPerEBIT_last,EBTPerEBIT_sec_last,EBTPerEBIT_third_last,DebtRatio_last,DebtRatio_sec_last,DebtRatio_third_last,DebtEquityRatio_last,DebtEquityRatio_sec_last,DebtEquityRatio_third_last,CashFlowToDebtRatio_last,CashFlowToDebtRatio_sec_last,CashFlowToDebtRatio_third_last,AssetTurnover_last,AssetTurnover_sec_last,AssetTurnover_third_last,ReturnOnInvestedCapital_last,ReturnOnInvestedCapital_sec_last,ReturnOnInvestedCapital_third_last
0.0,-0.04049999999999976,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.980794878634303,-2.2605993477324473,-181.76728209531987,,,,,,,,,,,,,,,,,,,,,,,,,0.03976460147893063,0.03216376583844294,-0.019096933954045183,,,,,,,,,,,,,0.0006785290910675389,0.0005407159150584575,-0.00032689132386354384,,,,58.604121772241854,59.48366774994162,58.41982506093348,,,,,,,50.413494225523664,50.69450063136061,49.76821906126557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8602380293565337,0.8522423473359269,0.8519063350387638,50.413494225523664,50.69450063136061,49.76821906126557,0.02364792162664408,-0.0014342657915447305,0.06974727741226819,,,,,,
0.0,0.018900000000002137,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.363079064963062,3.8077993676188417,-1.3444787049527847,,,,,,,,,,,,,,,,,,,,,,,,,0.0581124954979878,0.05231851189937562,0.016569910396668774,,,,,,,,,,,,,0.001026460143183964,0.0009770878277929904,0.00029603594238041767,,,,56.15457788347206,58.34496124031008,57.87967914438503,,,,,,,49.873959571938165,51.582687338501295,51.144385026737964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8881548299665438,0.8840984078478266,0.8836328359587934,49.873959571938165,51.582687338501295,51.144385026737964,-0.00247964934251722,-0.00575073191133417,0.01091522659004757,,,,,,
0.0,0.8828999999999994,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.363079064963062,3.8077993676188417,-1.3444787049527847,,,,,,,,,,,,,,,,,,,,,,,,,0.0581124954979878,0.05231851189937562,0.016569910396668774,,,,,,,,,,,,,0.001026460143183964,0.0009770878277929904,0.00029603594238041767,,,,46.58916938110749,45.55866388308977,45.5950235950236,,,,,,,42.32125407166124,41.290605427974945,41.3003003003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908392543457172,0.9063173040792573,0.9058071921868237,42.32125407166124,41.290605427974945,41.3003003003003,0.02044429051096295,0.059621199097996784,0.06513903460024306,,,,,,
0.0,0.06900000000000261,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.363079064963062,3.8077993676188417,-1.3444787049527847,,,,,,,,,,,,,,,,,,,,,,,,,0.0581124954979878,0.05231851189937562,0.016569910396668774,,,,,,,,,,,,,0.001026460143183964,0.0009770878277929904,0.00029603594238041767,,,,49.04100461301896,52.64014916096955,54.59362808842653,,,,,,,44.42644797539723,47.32877563704164,49.226918075422624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9059041168908538,0.8991003329476493,0.9016971357113083,44.42644797539723,47.32877563704164,49.226918075422624,0.09308228344639809,0.04559302447736107,0.04815680680482361,,,,,,
0.0,0.29270000000000174,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.363079064963062,3.8077993676188417,-1.3444787049527847,,,,,,,,,,,,,,,,,,,,,,,,,0.0581124954979878,0.05231851189937562,0.016569910396668774,,,,,,,,,,,,,0.001026460143183964,0.0009770878277929904,0.00029603594238041767,,,,56.15457788347206,58.34496124031008,57.87967914438503,,,,,,,49.873959571938165,51.582687338501295,51.144385026737964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8881548299665438,0.8840984078478266,0.8836328359587934,49.873959571938165,51.582687338501295,51.144385026737964,-0.00247964934251722,-0.00575073191133417,0.01091522659004757,,,,,,
0.0,0.47099999999999653,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.363079064963062,3.8077993676188417,-1.3444787049527847,,,,,,,,,,,,,,,,,,,,,,,,,0.0581124954979878,0.05231851189937562,0.016569910396668774,,,,,,,,,,,,,0.001026460143183964,0.0009770878277929904,0.00029603594238041767,,,,51.04239569313594,49.36363636363637,48.259074733096085,,,,,,,45.559892328398384,43.89531680440771,42.81209964412811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.892589223325291,0.8892237290027345,0.8871305527697481,45.559892328398384,43.89531680440771,42.81209964412811,0.07685149626303507,0.04182879377431906,0.0362088743329288,,,,,,
0.0,-0.4191500000000019,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.363079064963062,3.8077993676188417,-1.3444787049527847,,,,,,,,,,,,,,,,,,,,,,,,,0.0581124954979878,0.05231851189937562,0.016569910396668774,,,,,,,,,,,,,0.001026460143183964,0.0009770878277929904,0.00029603594238041767,,,,50.96463654223969,49.04100461301896,52.64014916096955,,,,,,,46.329567779960705,44.42644797539723,47.32877563704164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9090532361898154,0.9059041168908538,0.8991003329476493,46.329567779960705,44.42644797539723,47.32877563704164,0.039585696566200555,0.09308228344639809,0.04559302447736107,,,,,,
0.0,-0.059600000000003206,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.363079064963062,3.8077993676188417,-1.3444787049527847,,,,,,,,,,,,,,,,,,,,,,,,,0.0581124954979878,0.05231851189937562,0.016569910396668774,,,,,,,,,,,,,0.001026460143183964,0.0009770878277929904,0.00029603594238041767,,,,46.58916938110749,45.55866388308977,45.5950235950236,,,,,,,42.32125407166124,41.290605427974945,41.3003003003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908392543457172,0.9063173040792573,0.9058071921868237,42.32125407166124,41.290605427974945,41.3003003003003,0.02044429051096295,0.059621199097996784,0.06513903460024306,,,,,,
0.0,0.34405000000000285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.363079064963062,3.8077993676188417,-1.3444787049527847,,,,,,,,,,,,,,,,,,,,,,,,,0.0581124954979878,0.05231851189937562,0.016569910396668774,,,,,,,,,,,,,0.001026460143183964,0.0009770878277929904,0.00029603594238041767,,,,54.59362808842653,51.04239569313594,49.36363636363637,,,,,,,49.226918075422624,45.559892328398384,43.89531680440771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9016971357113083,0.892589223325291,0.8892237290027345,49.226918075422624,45.559892328398384,43.89531680440771,0.04815680680482361,0.07685149626303507,0.04182879377431906,,,,,,
0.0,0.14349999999999596,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.363079064963062,3.8077993676188417,-1.3444787049527847,,,,,,,,,,,,,,,,,,,,,,,,,0.0581124954979878,0.05231851189937562,0.016569910396668774,,,,,,,,,,,,,0.001026460143183964,0.0009770878277929904,0.00029603594238041767,,,,56.13244353182751,56.130479102956166,56.64371584699454,,,,,,,50.1570841889117,50.14678899082569,50.42295081967213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8935489181131454,0.8933967746622112,0.8901773138590364,50.1570841889117,50.14678899082569,50.42295081967213,-0.00247964934251722,-0.00575073191133417,0.01091522659004757,,,,,,
