Date,Close
27/03/2014 16:00:00,27.85
28/03/2014 16:00:00,27.92
31/03/2014 16:00:00,27.77
01/04/2014 16:00:00,28.28
02/04/2014 16:00:00,28.27
03/04/2014 16:00:00,28.41
04/04/2014 16:00:00,27.08
07/04/2014 16:00:00,26.83
08/04/2014 16:00:00,27.67
09/04/2014 16:00:00,28.13
10/04/2014 16:00:00,26.97
11/04/2014 16:00:00,26.46
14/04/2014 16:00:00,26.55
15/04/2014 16:00:00,26.75
16/04/2014 16:00:00,27.75
17/04/2014 16:00:00,26.73
21/04/2014 16:00:00,26.36
22/04/2014 16:00:00,26.67
23/04/2014 16:00:00,26.27
24/04/2014 16:00:00,26.19
25/04/2014 16:00:00,25.74
28/04/2014 16:00:00,25.79
29/04/2014 16:00:00,26.31
30/04/2014 16:00:00,26.26
01/05/2014 16:00:00,26.49
02/05/2014 16:00:00,26.32
05/05/2014 16:00:00,26.32
06/05/2014 16:00:00,25.69
07/05/2014 16:00:00,25.43
08/05/2014 16:00:00,25.48
09/05/2014 16:00:00,25.87
12/05/2014 16:00:00,26.42
13/05/2014 16:00:00,26.58
14/05/2014 16:00:00,26.26
15/05/2014 16:00:00,25.93
16/05/2014 16:00:00,25.96
19/05/2014 16:00:00,26.37
20/05/2014 16:00:00,26.42
21/05/2014 16:00:00,26.87
22/05/2014 16:00:00,27.18
23/05/2014 16:00:00,27.56
27/05/2014 16:00:00,28.22
28/05/2014 16:00:00,28.01
29/05/2014 16:00:00,27.93
30/05/2014 16:00:00,27.92
02/06/2014 16:00:00,27.62
03/06/2014 16:00:00,27.17
04/06/2014 16:00:00,27.16
05/06/2014 16:00:00,27.62
06/06/2014 16:00:00,27.74
09/06/2014 16:00:00,28.03
10/06/2014 16:00:00,27.95
11/06/2014 16:00:00,27.87
12/06/2014 16:00:00,27.49
13/06/2014 16:00:00,27.51
16/06/2014 16:00:00,27.14
17/06/2014 16:00:00,27.08
18/06/2014 16:00:00,27.59
19/06/2014 16:00:00,27.67
20/06/2014 16:00:00,27.74
23/06/2014 16:00:00,28.17
24/06/2014 16:00:00,28.15
25/06/2014 16:00:00,28.85
26/06/2014 16:00:00,28.72
27/06/2014 16:00:00,28.78
30/06/2014 16:00:00,28.69
01/07/2014 16:00:00,29.05
02/07/2014 16:00:00,29.04
03/07/2014 16:00:00,29.16
07/07/2014 16:00:00,29.03
08/07/2014 16:00:00,28.48
09/07/2014 16:00:00,28.73
10/07/2014 16:00:00,28.48
11/07/2014 16:00:00,28.88
14/07/2014 16:00:00,29.16
15/07/2014 16:00:00,29.16
16/07/2014 16:00:00,29.05
17/07/2014 16:00:00,28.61
18/07/2014 16:00:00,29.67
21/07/2014 16:00:00,29.39
